filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
AE09232025_Cu12_52cm_IDM.Spe,60CU,1791.6,12.522442244788593,4.332572567594791,0.454,0.023,9.77191622796249e-05,3.898963820199246e-06,394487.5905579087,178053.57812579157,680.1510182032908,306.9889278030889,1.5894253222907326,09/23/2025 19:59:51,415.0,580.0
AE09232025_Cu12_52cm_IDM.Spe,63ZN,2026.8,77.8358177847635,8.162830053043622,0.00056,6e-05,8.617303786278514e-05,3.3053467605526764e-06,2254238999.998472,432418256.8373902,3886618.9655146073,745548.7186851555,1.2583144027122244,09/23/2025 19:59:51,415.0,580.0
AE09232025_Cu12_52cm_IDM.Spe,63ZN,2336.5,100.8469595624963,10.034786325785523,0.00075,6e-05,7.466400728723057e-05,2.6888544878710963e-06,2516924263.5380173,417492386.0696414,4339524.592306926,719814.458740761,1.4608282865212745,09/23/2025 19:59:51,415.0,580.0
AE09232025_Cu12_52cm_IDM.Spe,63ZN,2536.0,65.96647096045666,6.218782279436256,0.00066,7.000000000000001e-05,6.882612766311949e-05,2.4371183716612695e-06,2029578607.656757,388011194.3457654,3499273.461477167,668984.8178375266,1.0289552747847646,09/23/2025 19:59:51,415.0,580.0
AL09232025_Cu12_40cm_IDM.Spe,56NI,158.38,11808.065886948878,175.59461043290366,0.988,0.01,0.0014586570666953,5.1043847024634824e-05,8906348.559459114,359890.484705461,4455.401980719917,180.03525998272187,0.9870505088872008,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,62ZN,243.36,1571.481640807642,130.3461629371426,0.0252,0.0023,0.0010527358636588,2.1070314201279178e-05,64390295.386599936,8207414.38839622,32211.25331995995,4105.760074235228,1.0953263119008163,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,62ZN,246.95,1379.7132545125687,142.68276190619798,0.019,0.0018,0.001038286838748,2.0017120256320735e-05,76023691.06335798,10955369.078982469,38030.86096216007,5480.424751867168,1.0953263119008163,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,56NI,269.5,126.5527111420893,83.33311567918763,0.365,0.008,0.0009555440998704,1.4766598041863504e-05,394419.9908562558,262289.02812466037,197.30864975300443,131.21011912189113,0.7484806372481896,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,62ZN,394.03,1132.5167551180282,93.55281857966766,0.0224,0.0017,0.0006682383894493,9.432379856512034e-06,82242491.91449605,9614188.798449118,41141.81686568086,4809.499148798958,0.9859916696198356,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,63ZN,449.93,1407.5160557669728,85.84105452549217,0.00236,0.00019,0.0005922724368867,9.26178526146395e-06,1094588541.682894,115613184.7634554,547568.0548688815,57835.5101367961,0.8762689928561292,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,56NI,480.44,57.63474861380241,57.08455856629889,0.365,0.008,0.0005583431764264,9.005033464968096e-06,307412.40650467813,307272.4984479545,153.78309479973893,153.71310577686566,0.9675392050229996,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,62ZN,548.35,5394.577794792782,85.32252322947149,0.153,0.0139999999999999,0.0004961246286128,8.138563366017315e-06,77251390.91417791,7360187.3927582335,38645.01796607199,3681.934663710972,1.1319330886958845,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,62ZN,596.56,8264.49704895506,102.06049637176116,0.26,0.013,0.0004601798577072,7.4047190780586574e-06,75083851.20323484,4134674.670301195,37560.70595459471,2068.371520911053,1.188032205851916,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,63ZN,669.62,33731.006953920005,262.4664715272254,0.0819999999999999,0.0040999999999999,0.0004148487864979,6.287326592499203e-06,1077845950.977692,57236444.093375675,539192.5717747335,28632.53831584576,2.149338362494597,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,56NI,749.95,171.43304938550622,51.44811272332105,0.495,0.012,0.0003743738969607,5.223123949754424e-06,1005575.8993692348,312666.56247500353,503.0394694193271,156.4114869809923,1.494484834363633,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,56NI,811.85,110.20473956804804,34.0610685720092,0.86,0.009,0.0003481310394933,4.601004538426774e-06,400119.88873016153,129581.392571318,200.1600243772694,64.8231078395788,1.1037800716082526,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,63ZN,962.06,18719.789025937243,171.62134555952966,0.065,0.004,0.0002968382830033,4.08066052904508e-06,1054626663.8275088,67639601.72075549,527577.1204739914,33836.71921998774,1.674022412152962,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,65ZN,1115.539,405.0548980996778,29.361857476098777,0.5004,0.001,0.0002565188840392,4.5745108946616165e-06,3430112.0736685186,307668.0000918776,1715.9139938311748,153.91095552370064,1.2964972518945872,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,63ZN,1123.72,270.32598270706643,25.29196905358211,0.00111,0.00012,0.000254678926788,4.6155295714116435e-06,1039448233.3401054,162595428.09926122,519984.1087244149,81338.38324125124,1.2964972518945872,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,62CU,1172.97,129.61087425645513,22.021889561353543,0.00342,0.000171,0.0002441137901496,4.873044330381492e-06,168754003.6568421,33531776.315406315,84419.21143413812,16774.27529535083,1.0428625304019945,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,63ZN,1327.03,173.7346844795975,16.83437837569471,0.00069,5e-05,0.0002156924778745,5.644304659791927e-06,1268917843.2048774,184236727.63735095,634776.3097573173,92164.44604169633,1.1670206770679066,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,60CU,1332.5,16.01803963694796,8.929197110681558,0.88,0.044,0.0002147941962277,5.6689294291983285e-06,92116.03035961224,56512.45712479616,46.08105570765995,28.270363744270213,1.1670206770679066,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,64CU,1345.77,160.51115491040676,17.25172258422572,0.00475,0.0001099999999999,0.0002126429598513,5.7276846081071915e-06,172739503.15284792,23837954.131619073,86412.95805545169,11924.939535577323,1.1670206770679066,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,63ZN,1392.55,261.21304843814784,30.792645767445045,0.00097,0.00015,0.0002053655513693,5.923221858641731e-06,1425366681.1071124,293742830.5385429,713039.8604837981,146944.88771312803,1.6706623347391445,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,63ZN,1412.08,1472.4804990753746,46.256265429637885,0.0075,0.0004,0.0002024667721849,5.999147639746004e-06,1054060634.3097324,77373747.9282473,527293.9641369347,38706.22707766248,1.5204940522949455,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,63ZN,1547.04,236.46238681594008,20.13426378660028,0.00122,7.000000000000001e-05,0.0001844223816889,6.434126306890642e-06,1142403899.4443345,144451795.6723397,571487.6935689517,72262.02885059515,1.2237782315798658,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,56NI,1561.8,15.601611593307108,6.398241146143093,0.14,0.006,0.0001826374968791,6.472780702496175e-06,663258.0728001863,321780.5178839732,331.7949338670267,160.97074431414367,1.2237782315798658,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,60CU,1791.6,17.191493022823007,4.597864324184571,0.454,0.023,0.0001586556552556,6.8890512674139765e-06,259437.7984239735,95022.87044849008,129.7837911075405,47.53520282565786,1.448782362512119,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,63ZN,2026.8,92.14762818723,8.620589462659568,0.00056,6e-05,0.0001398368812964,7.041835890983444e-06,1279102858.772405,234531755.51181543,639871.3650687368,117324.5400259207,0.985515763017792,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,63ZN,2336.5,38.97899713974745,6.238490820489271,0.00075,6e-05,0.0001210685197339,6.996473794270618e-06,466626318.7636105,115257318.17759071,233429.87431896472,57657.48783271171,1.5615314349669986,09/23/2025 21:54:49,1839.0,1999.0
AL09232025_Cu12_40cm_IDM.Spe,63ZN,2536.0,15.346606105904034,4.018793782644254,0.00066,7.000000000000001e-05,0.00011154465716,6.884848949390307e-06,226595198.36916417,87406638.98966604,113354.27632274346,43725.18208587596,1.6166764591741702,09/23/2025 21:54:49,1839.0,1999.0
DS09252025_Cu12_10cm_IDM.Spe,62ZN,243.36,1499.0127222815854,100.9687789990965,0.0252,0.0023,0.012615254900136,0.0001032018462542,4765401.716246905,555760.2514438942,1284.82116911483,149.84099526662018,1.8100753123277336,09/25/2025 17:36:30,3670.0,3709.0
DS09252025_Cu12_10cm_IDM.Spe,62ZN,246.95,1011.4841186863088,97.74108540979562,0.019,0.0018,0.0124356818776379,9.992354476179293e-05,4326399.629966345,602067.903901063,1166.459862487556,162.3262075764527,1.8100753123277336,09/25/2025 17:36:30,3670.0,3709.0
DS09252025_Cu12_10cm_IDM.Spe,62ZN,260.43,986.0470538205416,75.12860206321122,0.0135,0.0013,0.0118024382507896,9.128223570756762e-05,6254360.402158009,794872.8603217376,1686.265948276627,214.30921011640268,0.9704773312964292,09/25/2025 17:36:30,3670.0,3709.0
DS09252025_Cu12_10cm_IDM.Spe,62ZN,394.03,1120.3593739738394,67.62119669997875,0.0224,0.0017,0.0078838351705937,7.971821233236554e-05,6411543.116564106,653772.2115728577,1728.6446795805086,176.26643612101853,1.3756493556680305,09/25/2025 17:36:30,3670.0,3709.0
DS09252025_Cu12_10cm_IDM.Spe,62ZN,548.35,4678.033444558499,68.15998667115008,0.153,0.0139999999999999,0.0058006764700714,6.383230209849814e-05,5327016.194309515,503114.013714954,1436.2405484792437,135.6468087665015,0.9575358750754916,09/25/2025 17:36:30,3670.0,3709.0
DS09252025_Cu12_10cm_IDM.Spe,62ZN,596.56,7205.915839400976,87.9373413008809,0.26,0.013,0.0053688218601866,5.737327508134657e-05,5217081.395350195,281040.3945991898,1406.600537975248,75.77255179271766,1.0907231386600562,09/25/2025 17:36:30,3670.0,3709.0
DS09252025_Cu12_10cm_IDM.Spe,65ZN,1115.539,9617.762231660812,164.7750639176401,0.5004,0.001,0.0029460441436468,3.674807319201366e-05,6593382.246004925,155620.47415314385,1777.6711366958548,41.957528755228864,3.029466288373661,09/25/2025 17:36:30,3670.0,3709.0
DS09252025_Cu12_10cm_IDM.Spe,62CU,1172.97,73.67823679812547,16.06756012703928,0.00342,0.000171,0.0028000946431433,3.8047358932989976e-05,7775551.039168722,1964229.8192804423,2096.400927249588,529.5847450203404,1.8314306107278209,09/25/2025 17:36:30,3670.0,3709.0
DS09252025_Cu12_10cm_IDM.Spe,60CU,1332.5,17.34181441017592,9.797583445986753,0.88,0.044,0.0024562346507934,4.067504385410724e-05,8108.355421397323,4995.879004830701,2.1861297981659,1.346961176821435,1.2467252205487234,09/25/2025 17:36:30,3670.0,3709.0
DS09252025_Cu12_10cm_IDM.Spe,64CU,1345.77,368.41494646781376,26.423173070287696,0.00475,0.0001099999999999,0.0024310693184888,4.081002882153496e-05,32243119.896341804,3003347.947772787,8693.211080167648,809.7460091056314,1.2467252205487234,09/25/2025 17:36:30,3670.0,3709.0
DS09252025_Cu12_10cm_IDM.Spe,57NI,1377.63,74.05295140546455,12.698544778828497,0.8170000000000001,0.024,0.0023725199969974,4.108341075016981e-05,38610.12459492939,8105.531219432907,10.409847558622106,2.185368352502806,1.165718693038542,09/25/2025 17:36:30,3670.0,3709.0
DS09252025_Cu12_10cm_IDM.Spe,60CU,1791.6,0.6519912138899561,3.720399349978365,0.454,0.023,0.0018028425865662,4.011057685014924e-05,805.0425793127189,4700.901848430954,0.217051113322383,1.267431072642479,1.3393382011642554,09/25/2025 17:36:30,3670.0,3709.0
EV09272025_Cu12_10cm_IDM.Spe,62ZN,548.35,785.3515502411797,33.25180374492864,0.153,0.0139999999999999,0.0058006764700714,6.383230209849814e-05,888872.2790727677,95569.0041942016,141.87905491983523,15.25443003897871,0.8440163567592182,09/27/2025 00:47:31,6237.0,6265.0
EV09272025_Cu12_10cm_IDM.Spe,62ZN,596.56,1093.2783914668662,43.00699035036396,0.26,0.013,0.0053688218601866,5.737327508134657e-05,786726.4537152887,56052.96882886501,125.57485294737248,8.947002207320832,1.1764267740052097,09/27/2025 00:47:31,6237.0,6265.0
EV09272025_Cu12_10cm_IDM.Spe,65ZN,1115.539,16349.609057263318,254.18094197125455,0.5004,0.001,0.0029460441436468,3.674807319201366e-05,11140281.184802068,239567.16657295535,1778.177363894983,38.23897311619399,4.240275348692268,09/27/2025 00:47:31,6237.0,6265.0
EV09272025_Cu12_10cm_IDM.Spe,60CU,1332.5,40.424169294999174,14.852353500016632,0.88,0.044,0.0024562346507934,4.067504385410724e-05,18785.982324819663,7572.964890077621,2.9985606264676243,1.2087733264289895,1.2965481917130814,09/27/2025 00:47:31,6237.0,6265.0
EV09272025_Cu12_10cm_IDM.Spe,64CU,1345.77,121.99302360503611,16.995657608988793,0.00475,0.0001099999999999,0.0024310693184888,4.081002882153496e-05,10611807.783344915,1789101.756722527,1693.8240675730112,285.57091088946964,1.2965481917130814,09/27/2025 00:47:31,6237.0,6265.0
EV09272025_Cu12_10cm_IDM.Spe,60CU,1791.6,2.9554647230789803,2.683340782350737,0.454,0.023,0.0018028425865662,4.011057685014924e-05,3627.082633495403,3916.1506759376625,0.5789437563440388,0.6250839067737689,1.4558516049613384,09/27/2025 00:47:31,6237.0,6265.0
GM10182025_IDM_Cu12_10cm_000.Spe,57CO,122.06065,3082.11145324943,460.0254881687332,0.856,0.0017,0.0189593522496325,0.0002657174933733,190577.37232561567,28778.03780757233,1.510097877415696,0.2280315510655325,1.665770169809408,10/18/2025 20:24:07,125761.0,126202.0
GM10182025_IDM_Cu12_10cm_000.Spe,54MN,834.848,1288.5314875405738,151.09232219352552,0.99976,1e-05,0.0039249905321283,3.60355084047433e-05,329519.34897995,39829.766308767685,2.6110469642315497,0.3156032892408019,1.7758491567238186,10/18/2025 20:24:07,125761.0,126202.0
GM10182025_IDM_Cu12_10cm_000.Spe,56CO,846.77,794.8530709092258,91.54350959491974,0.999399,0.04996995,0.0038724075692494,3.5628716457661805e-05,206104.3419326952,26957.121765757805,1.6331305520728292,0.2136029679859099,0.8494501830398726,10/18/2025 20:24:07,125761.0,126202.0
GM10182025_IDM_Cu12_10cm_000.Spe,65ZN,1115.539,332726.441085562,5060.081005502014,0.5004,0.001,0.0029460441436468,3.674807319201366e-05,226491036.4252641,4494996.819754256,1794.6707375894523,35.61747690016209,82.33213265956697,10/18/2025 20:24:07,125761.0,126202.0
GM10182025_IDM_Cu12_10cm_000.Spe,56CO,1238.288,3701.9031455983545,98.15813520122342,0.6646,0.0012,0.0026493600060946,3.934287253052325e-05,2109813.1477326206,72994.32053353639,16.717747323597255,0.5783927396834946,1.248593149741535,10/18/2025 20:24:07,125761.0,126202.0
GM10182025_IDM_Cu12_10cm_000.Spe,60CU,1332.5,408.0840461320632,63.86840814957677,0.88,0.044,0.0024562346507934,4.067504385410724e-05,189459.9184636366,32661.62231370015,1.5012433912587486,0.2588043162049742,1.0745065701762433,10/18/2025 20:24:07,125761.0,126202.0
GM10182025_IDM_Cu12_10cm_000.Spe,57NI,1377.63,2021.175605233155,70.12343159499369,0.8170000000000001,0.024,0.0023725199969974,4.108341075016981e-05,1046387.0715238726,55971.96106078176,8.291366789146547,0.4435108877892724,1.2413907546495004,10/18/2025 20:24:07,125761.0,126202.0
